CODE;LEGENDA
3.00.70.01.00.20.3;Tecnologia e problemas sanitários de irrigação
3.00.70.01.00.30.1;Águas subterrâneas e poços profundos
3.00.70.01.00.40.0;Controle de enchentes e de barragens
3.00.70.01.00.50.8;Sedimentologia
3.00.70.02.00.00.3;Tratamento de águas de abastecimento e residuárias
3.00.70.02.00.10.1;Química sanitária
3.00.70.02.00.20.0;Processos simplificados de tratamento de águas
3.00.70.02.00.30.8;Técnicas convencionais de tratamento de águas
3.00.70.02.00.40.6;Técnicas avançadas de tratamento de águas
3.00.70.02.00.50.4;Estudos e caracterização de efluentes industriais
3.00.70.02.00.60.2;Lay out de processos industriais
3.00.70.02.00.70.0;Resíduos radioativos
3.00.70.03.00.00.0;Saneamento básico
3.00.70.03.00.10.8;Técnicas de abastecimento da água
3.00.70.03.00.20.6;Drenagem de águas residuárias
3.00.70.03.00.30.4;Drenagem urbana de águas pluviais
3.00.70.03.00.40.2;Resíduos sólidos, domésticos e industriais
3.00.70.03.00.50.0;Limpeza pública
3.00.70.03.00.60.9;Instalações hidráulico-sanitárias
3.00.70.04.00.00.6;Saneamento ambiental
3.00.70.04.00.10.4;Ecologia aplicada à engenharia sanitária
3.00.70.04.00.20.2;Microbiologia aplicada e engenharia sanitária
3.00.70.04.00.30.0;Parasitologia aplicada à engenharia sanitária
3.00.70.04.00.40.9;Qualidade do ar, das águas e do solo
3.00.70.04.00.50.7;Controle da poluição
3.00.70.04.00.60.5;Legislação ambiental
3.00.80.00.00.00.5;Engenharia de produção
3.00.80.01.00.00.1;Gerência de produção
3.00.80.01.00.10.0;Planejamento de instalações industriais
3.00.80.01.00.20.8;Planejamento, projeto e controle de sistemas de produção
3.00.80.01.00.30.6;Higiene e segurança do trabalho
3.00.80.01.00.40.4;Suprimentos
3.00.80.01.00.50.2;Garantia de controle de qualidade
3.00.80.02.00.00.8;Pesquisa operacional
3.00.80.02.00.10.6;Processos estocásticos e teorias da filas
